Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,33.900002,34.169998,33.18,33.259998,9193000,33.259998
2015-12-21,33.119999,34.740002,32.689999,34.110001,10376000,34.110001
2015-12-14,32.939999,34.080002,32.209999,32.950001,14761200,32.950001
2015-12-07,34.759998,35.84,32.82,32.91,21238500,32.91
2015-11-30,33.029999,36.389999,32.849998,34.91,23482100,34.91
2015-11-23,33.00,33.869999,32.439999,32.939999,10958700,32.939999
2015-11-16,32.23,33.50,32.119999,33.110001,11836800,33.110001
2015-11-09,34.07,34.23,32.169998,32.189999,12459400,32.189999
2015-11-02,35.459999,35.48,33.459999,34.200001,15478100,34.200001
2015-10-26,33.130001,35.700001,33.00,35.619999,17116100,35.619999
2015-10-19,33.259998,33.630001,31.01,33.169998,20681100,33.169998
2015-10-12,32.709999,33.860001,31.77,33.369999,14270000,33.369999
2015-10-05,30.799999,32.689999,30.35,32.52,12429500,32.52
2015-09-28,29.030001,30.709999,27.200001,30.709999,30694500,30.709999
2015-09-21,31.200001,31.74,28.85,29.129999,15808500,29.129999
2015-09-14,30.68,31.77,29.41,30.74,21532100,30.74
2015-09-08,32.200001,32.830002,30.35,31.43,25657100,31.43
2015-08-31,32.91,32.990002,31.23,31.58,15360700,31.58
2015-08-24,29.02,33.77,29.00,33.139999,18560200,33.139999
2015-08-17,36.240002,36.240002,32.91,32.93,12466700,32.93
2015-08-10,36.869999,37.689999,33.849998,36.240002,19563800,36.240002
2015-08-03,36.669998,37.709999,36.150002,36.669998,9985600,36.669998
2015-07-27,38.310001,38.310001,36.619999,36.669998,11711000,36.669998
2015-07-20,39.98,39.98,38.259998,38.849998,13037300,38.849998
2015-07-13,38.25,39.790001,38.099998,39.68,10138700,39.68
2015-07-06,38.759998,39.119999,36.580002,37.919998,15746400,37.919998
2015-06-29,39.490002,39.779999,38.849998,39.380001,9462700,39.380001
2015-06-22,40.66,41.389999,39.93,40.060001,10334200,40.060001
2015-06-15,40.240002,41.52,40.02,40.509998,12990600,40.509998
2015-06-08,42.720001,42.889999,40.459999,40.529999,12098400,40.529999
2015-06-01,43.049999,43.779999,42.700001,42.810001,10355400,42.810001
2015-05-26,43.41,43.59,42.279999,42.939999,11706100,42.939999
2015-05-18,44.52,44.66,39.119999,43.490002,29961600,43.490002
2015-05-11,43.82,45.07,43.59,44.75,10966400,44.75
2015-05-04,42.50,44.98,40.810001,44.09,18360200,44.09
2015-04-27,44.650002,45.099998,42.09,42.509998,11098100,42.509998
2015-04-20,44.73,45.18,43.580002,44.52,17342100,44.52
